DTCR Score: 0.294

drug	#_of_rounds	DTCS_score	normalized_DTCS_score
M3814	144	5.350668429557809	43.44742764800941
M3814	145	6.865432642867637	55.7473130600852
M3814	146	5.944762744233876	48.27147348317908
M3814	147	6.627589246364038	53.81602468047597
M3814	148	6.529895695607463	53.02275304833259
M3814	149	6.687674452769207	54.30391655648596
M3814	150	8.182459233142353	66.4415689731159
M3814	151	5.865726458057882	47.62969883943
M3814	152	6.190245335683854	50.2647921257529
M3814	153	7.026002644336714	57.051141472014095
M3814	154	4.6155428235639775	37.478207727339495
M3814	155	6.031291317761128	48.974085500220355
M3814	156	8.065814602614957	65.49441457323343
M3814	157	7.574849419715001	61.507777288085784
M3814	158	7.604377846334656	61.7475481122374
M3814	159	6.667988835022769	54.144069340384895
M3814	160	6.970765388570589	56.60261495519318
M3814	161	6.96914940502424	56.58949316879682
M3814	162	7.941383869546055	64.48403702071397
M3814	163	6.96415454679007	56.54893491993534
M3814	164	6.0990157191126775	49.524007639194934
M3814	165	6.9355075657411485	56.31632143381813
M3814	166	6.545320993095342	53.14800646393419
M3814	167	8.073013074775966	65.55286616718084
M3814	168	5.137505509034817	41.71654473336271
M3814	169	6.657411488173938	54.058181283972374
M3814	170	5.615395915968854	45.597014837667096
M3814	171	7.136330248273834	57.94700161598354
M3814	172	6.182606140737476	50.2027618627883
M3814	173	6.181871602761863	50.19679741442633
M3814	174	7.125899809020127	57.86230644924343
M3814	175	5.287938886440429	42.93806375789629
M3814	176	6.698545614808285	54.392190392243265
M3814	177	5.314822976347877	43.15636256794476
M3814	178	8.71470545027178	70.76340825620683
M3814	179	6.291317761128249	51.08550022036138
M3814	180	8.60085206405171	69.8389187600999
M3814	181	5.581607169090642	45.32265021301601
M3814	182	8.153959159688556	66.21014837667107
M3814	183	5.488173938592626	44.5639723813721
M3814	184	6.380490671367709	51.80958425150581
M3814	185	6.5166740120464235	52.915392977816936
M3814	186	7.057881592478331	57.30999853092404
M3814	187	7.284413104157484	59.14943440575877
M3814	188	7.268547083884235	59.02060232114
M3814	189	6.586308212134566	53.48082268253268
M3814	190	7.032319670926986	57.10243572792714
M3814	191	6.022036139268399	48.8989334508594
M3814	192	7.390186572645806	60.00831496988394
M3814	193	7.773468488320846	63.12056412516526
M3814	194	5.6910533274570305	46.211353018951066
M3814	195	7.650066108417804	62.118536800352565
M3814	196	6.061407374761275	49.21862788306155
M3814	197	6.336712208021154	51.45410312913177
M3814	198	5.279418245923314	42.868876156897315
M3814	199	6.090495078595564	49.45482003819597
M3814	200	7.857499632731011	63.802897017775805
M3814	201	5.343323049801675	43.387783164389596
M3814	202	8.27368884971353	67.18235345967386
M3814	203	7.649478478037313	62.11376524166299
M3814	204	7.643895989422655	62.06843543411194
M3814	205	5.7293962097840465	46.52269722344645
M3814	206	6.6115763184956675	53.68599970618481
M3814	207	6.2410753635962966	50.67753195240192
M3814	208	6.899809020126341	56.02644924342589
M3814	209	8.516086381665932	69.15062141912736
M3814	210	5.76876744527692	46.8423916556486
M3814	211	4.522550315851329	36.72310856471279
M3814	212	4.941383869546056	40.12403702071397
M3814	213	6.299838401645364	51.154687821360355
M3814	214	6.5605993829881015	53.27206698986337
M3814	215	6.170265902747173	50.10255913030703
M3814	216	4.676803290730131	37.97564272072866
M3814	217	6.846922285882179	55.5970089613633
M3814	218	6.976200969590127	56.64675187307183
M3814	219	6.636844424856765	53.89117672983692
M3814	220	4.196856177464375	34.07847216101072
M3814	221	5.577640664022329	45.29044219186132
M3814	222	6.000734537975613	48.725964448361985
M3814	223	5.45262230057294	44.27529308065226
M3814	224	7.791244307330688	63.26490377552519
M3814	225	6.8749816365506105	55.82485088879094
M3814	226	5.5582488614661365	45.13298075510504
M3814	227	6.731746731306009	54.66178345820479
M3814	228	4.773909211106215	38.764142794182455
M3814	229	6.754664316145144	54.84787424709857
M3814	230	6.45482591449978	52.4131864257382
M3814	231	6.1169384457176434	49.66954017922726
M3814	232	7.948582341707067	64.54248861466137
M3814	233	7.403261348611723	60.11448215072719
M3814	234	5.670780079330101	46.04673424416042
M3814	235	7.351256059938299	59.69219920669898
M3814	236	5.2027324812692815	42.24618774790657
M3814	237	5.585426766563831	45.35366534449831
M3814	238	6.234758337006023	50.62623769648891
M3814	239	6.097840458351697	49.51446452181578
M3814	240	5.97517261642427	48.51840164536505
M3814	241	7.355075657411487	59.72321433818127
