Target_gene	Vulnerability_gene	Length_of_shortest_path	Number_of_shortest_paths	TVIS_score	DGIdb_interaction_score
PRKDC	TYMP	3	46	6.914926571846586e-07	8.12
PRKDC	HSPA1L	2	15	9.501185558136979e-06	8.12
PRKDC	NCK1	2	6	1.2843902931314014e-05	8.12
PRKDC	EGF	2	43	3.1155862873044055e-05	8.12
PRKDC	IL4	2	31	2.8304862803244248e-05	8.12
PRKDC	OR4K5	3	1212	9.157559897045505e-07	8.12
PRKDC	RYK	2	14	2.442435603125738e-05	8.12
PRKDC	DCTN2	3	600	5.0216188808407795e-06	8.12
PRKDC	CPSF7	3	989	6.694206660119378e-06	8.12
PRKDC	PPP4C	2	2	9.673425166382914e-06	8.12
PRKDC	ATP6V0A2	3	1117	1.90991843082238e-06	8.12
PRKDC	ACSM1	4	6928	3.6985277563764275e-07	8.12
PRKDC	CHRNA6	3	4341	3.478828072105567e-06	8.12
PRKDC	CHPF	0	0	0	8.12
PRKDC	TAOK2	2	9	1.950193762815711e-05	8.12
PRKDC	IRS2	2	29	5.110761696295806e-05	8.12
PRKDC	PSMD4	3	28	1.0639409682017525e-06	8.12
PRKDC	ECHDC1	3	44	1.4448173896589588e-06	8.12
PRKDC	VARS2	4	14	1.532115832729632e-09	8.12
PRKDC	EHMT2	2	1	3.006343384541382e-06	8.12
PRKDC	RPS2	3	28	7.271490738540369e-08	8.12
PRKDC	IMPA2	3	1730	6.258875042095242e-06	8.12
PRKDC	SLC36A1	3	472	3.2157854391728506e-06	8.12
PRKDC	CAB39L	2	5	1.849497952382982e-05	8.12
PRKDC	SIPA1L2	3	6315	1.1792947070758592e-05	8.12
PRKDC	NAGPA	3	89	7.67390745164879e-07	8.12
PRKDC	CD47	3	1405	1.0720637600660507e-05	8.12
PRKDC	AVPR1A	3	7171	4.9527101383483865e-06	8.12
PRKDC	KHK	3	108	4.364741693842221e-06	8.12
PRKDC	NDUFS5	3	2619	4.044616559694588e-06	8.12
PRKDC	CYP1B1	3	1182	2.7149187033371803e-06	8.12
PRKDC	GCNT4	4	276	5.649401594034909e-07	8.12
PRKDC	P2RY1	3	8107	5.0138065804479245e-06	8.12
PRKDC	HMGCS1	3	271	1.4634216413092226e-06	8.12
PRKDC	CLEC7A	3	993	4.705389807941489e-06	8.12
PRKDC	OR4P4	3	1212	9.157559897045505e-07	8.12
PRKDC	COL24A1	3	472	3.2157854391728506e-06	8.12
PRKDC	SLC34A1	3	170	2.32681970335654e-06	8.12
PRKDC	VEGFD	2	29	2.4519011113666323e-05	8.12
PRKDC	OR2A42	3	1212	9.157559897045505e-07	8.12
PRKDC	HSD17B12	3	37	5.735893570450194e-07	8.12
PRKDC	LEFTY1	2	18	7.685593543063782e-05	8.12
PRKDC	PRNP	2	1	1.1471573441013169e-05	8.12
PRKDC	NEK7	2	1	3.361367135241245e-06	8.12
PRKDC	ELOVL1	3	31	9.990564144146325e-07	8.12
PRKDC	LRRC4	2	2	3.889634821093521e-06	8.12
PRKDC	MEP1A	3	472	3.2157854391728506e-06	8.12
PRKDC	IMP4	3	60	4.248525927830436e-07	8.12
PRKDC	DRD3	2	1	7.717156937646915e-07	8.12
PRKDC	CCL4	2	6	6.358498537103005e-06	8.12
PRKDC	PDE6B	3	1265	3.837089573966029e-06	8.12
PRKDC	TOB1	3	50	7.018458454397713e-07	8.12
PRKDC	RXRA	2	29	3.083259498584088e-05	8.12
PRKDC	POGLUT1	3	12	1.6836556529258194e-06	8.12
PRKDC	PFN1	3	7710	9.436193360597401e-06	8.12
PRKDC	M6PR	3	1070	3.037918790539679e-06	8.12
PRKDC	PIGW	4	39	1.9210974625559892e-08	8.12
PRKDC	MICA	3	3391	1.2954479479384307e-05	8.12
PRKDC	GHSR	2	2	2.0915513873260352e-06	8.12
PRKDC	COX6A1	3	475	1.4426224498879308e-06	8.12
PRKDC	DNM1	2	3	3.288717353497802e-06	8.12
PRKDC	RELN	2	21	2.9982067463731936e-05	8.12
PRKDC	UGGT2	2	3	1.2398742241998359e-05	8.12
PRKDC	CKAP4	2	3	1.2398742241998359e-05	8.12
PRKDC	PLA2G4C	2	12	7.099844290657973e-06	8.12
PRKDC	POLR2I	4	12937	1.0750721278401124e-06	8.12
PRKDC	ISG15	3	1512	9.250562530299143e-06	8.12
PRKDC	P2RY2	3	4390	4.221098861188034e-06	8.12
PRKDC	MAPKAP1	2	2	9.668404363894354e-06	8.12
PRKDC	PFKFB4	2	3	2.087033969452063e-05	8.12
PRKDC	OR56A1	3	1212	9.157559897045505e-07	8.12
PRKDC	CDC20	1	1	0.003105590062111801	8.12
PRKDC	SOCS6	2	8	1.904870282679741e-05	8.12
PRKDC	TLR4	2	26	1.9395987049016367e-05	8.12
PRKDC	TPCN2	3	3786	6.796006149344907e-06	8.12
PRKDC	ALPG	3	7	4.179099150331014e-07	8.12
PRKDC	CHMP6	2	3	3.933071644132231e-06	8.12
PRKDC	BAMBI	2	22	7.2016507063124e-05	8.12
PRKDC	GJA1	2	1	1.390897963725381e-05	8.12
PRKDC	AAAS	3	202	7.219685907510985e-07	8.12
PRKDC	PTH2R	3	683	8.595698791264664e-07	8.12
PRKDC	RPS12	3	28	7.271490738540369e-08	8.12
PRKDC	CTSB	2	6	7.89414133828877e-06	8.12
PRKDC	OR4C5	3	1212	9.157559897045505e-07	8.12
PRKDC	TARS3	4	14	1.532115832729632e-09	8.12
PRKDC	COL11A1	3	472	3.2157854391728506e-06	8.12
PRKDC	VAMP3	3	993	3.930069896405671e-06	8.12
PRKDC	IL1R1	2	14	1.57450108578513e-05	8.12
PRKDC	CXCL2	2	8	7.901257626755157e-06	8.12
PRKDC	RPS5	3	28	7.271490738540369e-08	8.12
PRKDC	SMYD1	3	32	1.1034845203987997e-06	8.12
PRKDC	NDUFS6	3	2619	4.044616559694588e-06	8.12
PRKDC	HYOU1	2	3	1.2398742241998359e-05	8.12
PRKDC	FBXW8	2	19	0.00018079491285784524	8.12
PRKDC	PDE4B	2	2	3.1636359034711413e-06	8.12
PRKDC	UBA2	2	19	0.00018079491285784524	8.12
PRKDC	LAMC1	2	21	2.9982067463731936e-05	8.12
PRKDC	SF3B3	3	116	5.984462880709621e-07	8.12
PRKDC	AGK	3	2	4.4073678339969986e-08	8.12
PRKDC	SLC10A2	3	881	5.054356306451358e-06	8.12
PRKDC	ENTPD2	3	1054	2.423974096070698e-06	8.12
PRKDC	GBA	3	119	7.802277886604355e-07	8.12
PRKDC	MRC1	3	993	4.705389807941489e-06	8.12
PRKDC	SPDYE17	2	47	0.0004374524071538693	8.12
PRKDC	HSP90AB1	2	56	5.887040052841517e-05	8.12
PRKDC	OR51G1	3	1212	9.157559897045505e-07	8.12
PRKDC	CACNA2D2	2	11	1.3156377012369304e-05	8.12
PRKDC	POLK	2	1	2.8447883477469277e-05	8.12
PRKDC	CCNB1	1	1	0.002352941176470588	8.12
PRKDC	ITGB8	2	21	2.025574200674747e-05	8.12
PRKDC	ENO3	2	5	1.3638312679395033e-05	8.12
PRKDC	GPAT2	3	115	3.5910483840377754e-07	8.12
PRKDC	FUT2	4	1271	1.2567615955184878e-07	8.12
PRKDC	GATM	3	50	3.7095838747483937e-07	8.12
PRKDC	RAD50	1	1	0.004878048780487805	8.12
PRKDC	NXF2	3	1251	2.459521773017167e-06	8.12
PRKDC	COL28A1	3	472	3.2157854391728506e-06	8.12
PRKDC	MTR	3	28	3.765599948991568e-07	8.12
PRKDC	PLPP4	3	115	3.5910483840377754e-07	8.12
PRKDC	GUCA1B	3	643	8.967888494758041e-06	8.12
PRKDC	RPS3	3	28	7.271490738540369e-08	8.12
PRKDC	RIOK2	3	60	4.248525927830436e-07	8.12
PRKDC	LGR5	2	13	4.297793146627028e-05	8.12
PRKDC	MC3R	3	683	8.595698791264664e-07	8.12
PRKDC	FERMT3	3	3476	1.0762425443497873e-05	8.12
PRKDC	IMPDH2	3	622	1.7804476387407603e-06	8.12
PRKDC	P2RX4	3	3973	3.984042948383e-06	8.12
PRKDC	PMM1	3	116	2.1964390080471563e-06	8.12
PRKDC	FAN1	2	1	2.8447883477469277e-05	8.12
PRKDC	FOLR3	2	3	6.2833217729429554e-06	8.12
PRKDC	THOC6	3	202	7.219685907510985e-07	8.12
